cell,maximum,mean,metric,minimum,n_seeds,optimizer,standard_deviation,step
C16-d16-L2-H1-m4-ffnnone,0.21575970947742462,0.2007805829246839,attention_mean_distractor_mass,0.1668686792254448,12,adamw,0.015770569863854274,0
C16-d16-L2-H1-m4-ffnnone,0.33334288001060486,0.20319945023705563,attention_self_mass,0.14876732230186462,12,adamw,0.06723439744417689,0
C16-d16-L2-H1-m4-ffnnone,0.2217191606760025,0.19445881868402162,attention_target_mass,0.14222846925258636,12,adamw,0.021968743686810233,0
C16-d16-L2-H1-m4-ffnnone,-0.01705581322312355,-0.15925791417248547,attention_target_over_distractor_log_margin,-0.38809583708643913,12,adamw,0.10286017868788624,0
C16-d16-L2-H1-m4-ffnnone,0.625,0.48974609375,donor_accuracy,0.38671875,12,adamw,0.0654495602452873,0
C16-d16-L2-H1-m4-ffnnone,3.0105152130126953,1.0654715200265248,donor_risk,0.5963432788848877,12,adamw,0.7187518641829973,0
C16-d16-L2-H1-m4-ffnnone,0.7035661339759827,0.6192736675341924,embedding_coherence,0.5073335766792297,12,adamw,0.05969237045508729,0
C16-d16-L2-H1-m4-ffnnone,8.403874397277832,7.757482210795085,embedding_effective_rank,6.781848907470703,12,adamw,0.5124959780989643,0
C16-d16-L2-H1-m4-ffnnone,0.615234375,0.4967447916666667,function_accuracy,0.3828125,12,adamw,0.06749572808890165,0
C16-d16-L2-H1-m4-ffnnone,0.29760387539863586,0.19579971147080263,natural_swap_mae,0.12045042961835861,12,adamw,0.055432048576800536,0
C16-d16-L2-H1-m4-ffnnone,0.2150137573480606,0.08422088188429673,natural_swap_mse,0.034784361720085144,12,adamw,0.059859074447887094,0
C16-d16-L2-H1-m4-ffnnone,1.0544920563697815,0.9524964913725853,ov_distractor_gain,0.8112470209598541,12,adamw,0.08941488064247857,0
C16-d16-L2-H1-m4-ffnnone,0.199908297508955,-0.05148716765688732,ov_log_target_over_distractor_gain,-0.2957853227853775,12,adamw,0.13524646323703188,0
C16-d16-L2-H1-m4-ffnnone,1.0406994819641113,0.8922925492127737,ov_target_gain,0.7368736565113068,12,adamw,0.11374093244041143,0
C16-d16-L2-H1-m4-ffnnone,0.27693748474121094,0.22990948831041655,qk_cancellation_fraction,0.16654294729232788,12,adamw,0.031177094053419622,0
C16-d16-L2-H1-m4-ffnnone,0.07703986763954163,0.03378287601905564,qk_content_energy,0.015440603718161583,12,adamw,0.022008329302387407,0
C16-d16-L2-H1-m4-ffnnone,0.0163006535731256,-0.0011738482959723722,qk_content_signed,-0.023849504999816418,12,adamw,0.013362547970300039,0
C16-d16-L2-H1-m4-ffnnone,0.57421875,0.5126139322916666,qk_opposition_rate,0.4541015625,12,adamw,0.035957128017210495,0
C16-d16-L2-H1-m4-ffnnone,0.0038794693537056446,-0.0029684894992290842,qk_route_signed,-0.012925272807478905,12,adamw,0.0051433716263233255,0
C16-d16-L2-H1-m4-ffnnone,0.02137566637247801,-0.19280222454108298,qk_suppression_log_ratio,-0.6513930559158325,12,adamw,0.17210704744324878,0
C16-d16-L2-H1-m4-ffnnone,0.020180122461169958,-0.004142337992864971,qk_total_signed,-0.0367747787386179,12,adamw,0.01692871242236209,0
C16-d16-L2-H1-m4-ffnnone,3.003941297531128,1.0585696051518123,risk,0.5688995122909546,12,adamw,0.7185630945173985,0
C16-d16-L2-H1-m4-ffnnone,0.19383536279201508,-0.0100413549807854,target_key_effect,-0.21243053674697876,12,adamw,0.11284408530573929,0
C16-d16-L2-H1-m4-ffnnone,0.2303975522518158,0.0007831278877953688,value_flip_effect,-0.24029983580112457,12,adamw,0.13274489751126403,0
C16-d16-L2-H1-m4-ffnnone,4.52419900894165,0.9490425804009041,walsh_bias_energy,0.11558438092470169,12,adamw,1.2960037865375398,0
C16-d16-L2-H1-m4-ffnnone,0.3888819217681885,0.10443214342618982,walsh_distractor_direct_energy,0.01650117337703705,12,adamw,0.12168126645123815,0
C16-d16-L2-H1-m4-ffnnone,0.05873645842075348,0.011756659271971634,walsh_interaction_energy,0.0016560724470764399,12,adamw,0.01712055053407898,0
C16-d16-L2-H1-m4-ffnnone,0.2247624397277832,-0.0005829913231233755,walsh_target_coefficient,-0.2485576719045639,12,adamw,0.1329108746379043,0
C16-d16-L2-H1-m4-ffnnone,1.6108119487762451,1.0307368487119675,walsh_target_error_energy,0.6352106332778931,12,adamw,0.27431517769189767,0
C16-d16-L2-H1-m4-ffnnone,5.629827499389648,2.0959682762622833,walsh_total_error_energy,1.1685209274291992,12,adamw,1.334866465579531,0
C16-d16-L2-H1-m4-ffnnone,0.5574632883071899,0.33514255975993973,attention_key_selectivity,0.012085908092558384,12,adamw,0.16827899124984183,50
C16-d16-L2-H1-m4-ffnnone,0.17311713844537735,0.0919286070081095,attention_mean_distractor_mass,0.051931340247392654,12,adamw,0.045598350909240803,50
C16-d16-L2-H1-m4-ffnnone,0.4701259434223175,0.29714302097757656,attention_self_mass,0.1548922136425972,12,adamw,0.10127292404139074,50
C16-d16-L2-H1-m4-ffnnone,0.6151469945907593,0.4270711690187454,attention_target_mass,0.18520305305719376,12,adamw,0.13253221236438129,50
C16-d16-L2-H1-m4-ffnnone,3.503951668739319,1.8524935667713482,attention_target_over_distractor_log_margin,-1.4564490169286728,12,adamw,1.390620263365108,50
C16-d16-L2-H1-m4-ffnnone,1.0,0.9397786458333334,donor_accuracy,0.775390625,12,adamw,0.08342645239716376,50
C16-d16-L2-H1-m4-ffnnone,0.2969106137752533,0.09631823224481195,donor_risk,0.0036404994316399097,12,adamw,0.11239950393307574,50
C16-d16-L2-H1-m4-ffnnone,0.812397301197052,0.7286656945943832,embedding_coherence,0.6640650033950806,12,adamw,0.052065378253720956,50
C16-d16-L2-H1-m4-ffnnone,7.250061511993408,6.185941815376282,embedding_effective_rank,5.475327014923096,12,adamw,0.497647322470439,50
C16-d16-L2-H1-m4-ffnnone,1.0,0.9410807291666666,function_accuracy,0.78515625,12,adamw,0.08059325948546196,50
