revision,revision_index,template_id,template_index,slot,target_effect_when_queried,distractor_effect_when_not_queried,slot_contrast,target_effect_q10,target_effect_q90,distractor_effect_q10,distractor_effect_q90,n_target_episodes,n_distractor_episodes,independent_pretraining_trajectories
step64000,6,bracket_dictionary,3,0,0.17536110936303195,-0.002636108292774504,0.17799721765580645,0.03723644304516858,0.3608219798445892,-0.29401962089030237,0.3229968184857118,64,192,1
step64000,6,bracket_dictionary,3,1,0.024225396332990173,-0.011186356436129833,0.03541175276912001,-0.030397582976220944,0.08611764008666956,-0.09140925371490409,0.07178869340979514,16,240,1
step64000,6,bracket_dictionary,3,2,0.055386324378836234,-0.00625945988097716,0.061645784259813395,-0.12818080949153715,0.23574779347014296,-0.10036126924870281,0.09634449826697689,48,208,1
step64000,6,bracket_dictionary,3,3,0.05243547000646437,-0.00969421290974305,0.06212968291620742,-0.022007719493031028,0.11515129504540111,-0.14480092094204847,0.16561179407441884,128,128,1
step143000,7,compact_cards,0,0,0.07103090014178233,-0.005923934576897336,0.07695483471867967,-0.022995289781775854,0.2025995517013313,-0.2421547699251901,0.1875508839736837,80,176,1
step143000,7,compact_cards,0,1,0.013986342051387763,-0.007606982410678602,0.021593324462066365,-0.002856344441078254,0.03698080841946176,-0.0874896119728336,0.08267623838199654,48,208,1
step143000,7,compact_cards,0,2,0.019107925891090942,-0.007176888823992106,0.02628481471508305,-0.008430458343358975,0.061985752979830284,-0.05838520031015217,0.042026008142029427,64,192,1
step143000,7,compact_cards,0,3,0.015798153106355895,-0.005877662205152794,0.021675815311508688,-0.008386565960044367,0.0397938385448105,-0.0751649378445797,0.07942179169185697,64,192,1
step143000,7,line_records,1,0,0.0015550229280027737,-0.022213915690055434,0.02376893861805821,-0.086923411550029,0.083781751383178,-0.11129210468257451,0.07072244686540455,80,176,1
step143000,7,line_records,1,1,0.013270234524495723,-0.004523122675089472,0.017793357199585195,-0.044685943422965335,0.09477329295776799,-0.09553605956017926,0.09873868119330169,64,192,1
step143000,7,line_records,1,2,0.018220127025745353,-0.008962777097831005,0.02718290412357636,-0.004838566994010453,0.041924894472454975,-0.04795842781541291,0.033870757777080894,64,192,1
step143000,7,line_records,1,3,0.017980482620126404,-0.008890185686606187,0.02687066830673259,-0.029663861288920235,0.05833105967629375,-0.0608511333978296,0.044318381950163,48,208,1
step143000,7,prose_facts,2,0,0.021495309762488268,0.0013961710773988554,0.02009913868508941,-0.08554635669546329,0.11778836097312495,-0.11750247360664444,0.1291450858033763,80,176,1
step143000,7,prose_facts,2,1,-0.008555018572581317,-0.001647803660937726,-0.0069072149116435905,-0.060110768531911836,0.03745338782402437,-0.08244118474788163,0.07992958417455712,80,176,1
step143000,7,prose_facts,2,2,0.004351517894757565,0.0043399933861449835,1.1524508612581474e-05,-0.019567491846423948,0.04003178318643032,-0.02903727649454363,0.040506659110613706,32,224,1
step143000,7,prose_facts,2,3,-0.0049010109756533315,0.008852554819513114,-0.013753565795166445,-0.09739258550828404,0.0764284059633152,-0.1542059055270361,0.17136581447887833,64,192,1
step143000,7,bracket_dictionary,3,0,0.041929695871979075,-0.006329832138562874,0.04825952801054195,-0.028878796904754346,0.10818333434858605,-0.11676465834700007,0.07772046706744673,64,192,1
step143000,7,bracket_dictionary,3,1,0.03879040277145515,-0.0034249624742616583,0.04221536524571681,0.002814262387837163,0.07152671084944895,-0.05249245422353963,0.04717430926883139,16,240,1
step143000,7,bracket_dictionary,3,2,0.058430828389522016,-0.00607128140769729,0.0645021097972193,0.007495181420169589,0.12760273244370696,-0.05933619771677226,0.05048977649016734,48,208,1
step143000,7,bracket_dictionary,3,3,0.05005966165510038,-0.022013949897631772,0.07207361155273215,-0.00042434614643531844,0.10275643076386357,-0.19562113878714632,0.1475211582737192,128,128,1
