revision,revision_index,template_id,template_index,layer,closure_max_abs,closure_relative_sensitivity_max,component_scale_max_abs,n_episode_rows,independent_pretraining_trajectories,delta_h_norm_mean,delta_attention_norm_mean,delta_ffn_norm_mean,delta_post_norm_mean,delta_skip_attention_norm_mean
step4000,4,compact_cards,0,4,2.220446049250313e-15,5.660503644795195e-15,1.004567578712216,256,1,0.7498950293101232,2.9586324812725064,0.43044401687410244,3.2637372013024244,3.2541463390174847
step4000,4,compact_cards,0,5,5.329070518200751e-15,1.0012763292939014e-14,1.63994745042551,256,1,3.2637372013024244,1.1088687794206131,2.089379126338115,5.0292271160470605,4.014917717297218
step4000,4,line_records,1,0,4.440892098500626e-16,8.259963651161831e-14,0.06440207134336845,256,1,0.0,0.139326996744068,0.0,0.139326996744068,0.139326996744068
step4000,4,line_records,1,1,1.2490009027033011e-15,3.00699063220526e-14,0.1566351481370467,256,1,0.139326996744068,0.24987251379784697,0.12430697671737556,0.2921569787289295,0.29634711462146746
step4000,4,line_records,1,2,9.43689570931383e-16,1.3455050100023705e-14,0.1993240188919849,256,1,0.2921569787289295,0.36419906829731313,0.20245196765419604,0.46473727104181317,0.47823131304023614
step4000,4,line_records,1,3,1.1102230246251565e-15,1.079528909196229e-14,0.3382494000175872,256,1,0.46473727104181317,0.5655390841168308,0.33417035245799626,0.750355429199385,0.7834226964060519
step4000,4,line_records,1,4,1.9984014443252818e-15,5.63941774080633e-15,1.4585995461050172,256,1,0.750355429199385,3.2743950378258178,0.5185046590234264,3.5927279662339537,3.5833785287635793
step4000,4,line_records,1,5,6.217248937900877e-15,7.204838468155104e-15,2.5092142693412356,256,1,3.5927279662339537,1.2913599131665696,2.566821538744028,5.7797633323169615,4.464162397796594
step4000,4,prose_facts,2,0,4.440892098500626e-16,8.333102849362593e-14,0.0674346940180362,256,1,0.0,0.17208353895250758,0.0,0.17208353895250758,0.17208353895250758
step4000,4,prose_facts,2,1,1.0547118733938987e-15,1.7376504787676395e-14,0.29333934341908924,256,1,0.17208353895250758,0.3219774682650365,0.15478863496891143,0.3730356653016067,0.3682581780366331
step4000,4,prose_facts,2,2,8.881784197001252e-16,1.1988277340991924e-14,0.42401113988044353,256,1,0.3730356653016067,0.32003862051240883,0.2868341733989019,0.5104424750209955,0.5080772892035712
step4000,4,prose_facts,2,3,1.1102230246251565e-15,5.087285424192194e-15,0.5049295511704508,256,1,0.5104424750209955,1.29793489311677,0.3504403759500411,1.4402896739481188,1.4519148027510504
step4000,4,prose_facts,2,4,2.220446049250313e-15,4.2094754287231166e-15,1.706080524918678,256,1,1.4402896739481188,5.280540668660177,0.7882666334809164,6.011762565959327,5.994270654651403
step4000,4,prose_facts,2,5,4.884981308350689e-15,3.132937805023954e-15,3.022177637767024,256,1,6.011762565959327,1.8041354738993258,4.228738739415042,9.527286511501352,7.199194183583099
step4000,4,bracket_dictionary,3,0,4.440892098500626e-16,3.1501229862085e-14,0.06875603383875806,256,1,0.0,0.21464687693915258,0.0,0.2146468769391526,0.21464687693915258
step4000,4,bracket_dictionary,3,1,1.3322676295501878e-15,1.6817285012093784e-14,0.2014410795263265,256,1,0.2146468769391526,0.32532261606500834,0.20670192944640656,0.4091351854145651,0.3953502664884037
step4000,4,bracket_dictionary,3,2,1.0547118733938987e-15,9.246141136664056e-15,0.4043608519847109,256,1,0.4091351854145651,0.7168181464266357,0.2889853465437323,0.8488610650617041,0.8607618413043167
step4000,4,bracket_dictionary,3,3,2.220446049250313e-15,5.060578833444163e-15,0.8624072994119021,256,1,0.8488610650617041,1.814992283100175,0.6234867670789328,2.028353206983727,2.0648036157797804
step4000,4,bracket_dictionary,3,4,2.220446049250313e-15,3.350749557522341e-15,1.7549511816261834,256,1,2.028353206983727,3.696727134612353,1.0014272802748287,4.7671214721688,4.70935808264512
step4000,4,bracket_dictionary,3,5,5.329070518200751e-15,3.2128108025896715e-15,2.4710872038403577,256,1,4.7671214721688,1.6602570574477942,3.2998366802801895,7.394617269074519,5.738648995987967
step16000,5,compact_cards,0,0,1.7763568394002505e-15,1.64943225756935e-13,0.1151562781917761,256,1,0.0,0.1619606762255744,0.0,0.16196067622557442,0.1619606762255744
