alpha_training,arm_name,beta_random_orthogonal,fixed_probe_risk,log10_risk_over_center,seed,step
-0.5,hard-factorized-constant-6400,-0.8333333333333334,0.4942106227550108,1.4767518030899294,100,800
-0.5,hard-factorized-constant-6400,-0.6666666666666666,0.4370003197116094,1.4233214817318705,100,800
-0.5,hard-factorized-constant-6400,-0.5,0.3765950628872474,1.3587143492025922,100,800
-0.5,hard-factorized-constant-6400,-0.3333333333333333,0.29879104834351805,1.2582073090841688,100,800
-0.5,hard-factorized-constant-6400,-0.16666666666666666,0.2094581445916091,1.1039369792053093,100,800
-0.5,hard-factorized-constant-6400,0.0,0.15720163380875748,0.9792967824123643,100,800
-0.5,hard-factorized-constant-6400,0.16666666666666666,0.1592673539339155,0.9849664917862896,100,800
-0.5,hard-factorized-constant-6400,0.3333333333333333,0.2006812278141416,1.0853464765072025,100,800
-0.5,hard-factorized-constant-6400,0.5,0.26494751551208184,1.2059995783963686,100,800
-0.5,hard-factorized-constant-6400,0.6666666666666666,0.3348061058217199,1.3076330966029412,100,800
-0.5,hard-factorized-constant-6400,0.8333333333333334,0.4044556397658229,1.3897106226651728,100,800
-0.5,hard-factorized-constant-6400,1.0,0.47071997661158316,1.4556023564982015,100,800
-0.3333333333333333,hard-factorized-constant-6400,-1.0,0.49451370166710673,1.4770180562809876,100,800
-0.3333333333333333,hard-factorized-constant-6400,-0.8333333333333334,0.4371344049943432,1.423454716340236,100,800
-0.3333333333333333,hard-factorized-constant-6400,-0.6666666666666666,0.37570937065535753,1.3576917540681244,100,800
-0.3333333333333333,hard-factorized-constant-6400,-0.5,0.29481391415136987,1.2523877038301743,100,800
-0.3333333333333333,hard-factorized-constant-6400,-0.3333333333333333,0.1957670832743974,1.0745793973663769,100,800
-0.3333333333333333,hard-factorized-constant-6400,-0.16666666666666666,0.11115495015606486,0.8287685352932423,100,800
-0.3333333333333333,hard-factorized-constant-6400,0.0,0.0687401271840518,0.6200500583696786,100,800
-0.3333333333333333,hard-factorized-constant-6400,0.16666666666666666,0.0763422687260942,0.6656047891210966,100,800
-0.3333333333333333,hard-factorized-constant-6400,0.3333333333333333,0.13512377246338705,0.9135714886452818,100,800
-0.3333333333333333,hard-factorized-constant-6400,0.5,0.21110939432387438,1.1073472867805703,100,800
-0.3333333333333333,hard-factorized-constant-6400,0.6666666666666666,0.2966997772447474,1.2551569472881532,100,800
-0.3333333333333333,hard-factorized-constant-6400,0.8333333333333334,0.37502550843019433,1.3569005355402735,100,800
-0.3333333333333333,hard-factorized-constant-6400,1.0,0.4530060811580101,1.4389437590546112,100,800
-0.16666666666666666,hard-factorized-constant-6400,-1.0,0.44051241002993263,1.4267978748094072,100,800
-0.16666666666666666,hard-factorized-constant-6400,-0.8333333333333334,0.3713610839025195,1.352636117731099,100,800
-0.16666666666666666,hard-factorized-constant-6400,-0.6666666666666666,0.30146011087050595,1.2620695815655112,100,800
-0.16666666666666666,hard-factorized-constant-6400,-0.5,0.22350775054608146,1.1321323147256173,100,800
-0.16666666666666666,hard-factorized-constant-6400,-0.3333333333333333,0.12190587689153226,0.8688643698096536,100,800
-0.16666666666666666,hard-factorized-constant-6400,-0.16666666666666666,0.05891117982533423,0.5530374475501005,100,800
-0.16666666666666666,hard-factorized-constant-6400,0.0,0.027594413807041144,0.22366089973496375,100,800
-0.16666666666666666,hard-factorized-constant-6400,0.16666666666666666,0.04019122886888202,0.3869710122165214,100,800
-0.16666666666666666,hard-factorized-constant-6400,0.3333333333333333,0.09485739146411412,0.7599109046051667,100,800
-0.16666666666666666,hard-factorized-constant-6400,0.5,0.1687021697505402,1.0099603953008887,100,800
-0.16666666666666666,hard-factorized-constant-6400,0.6666666666666666,0.26360748509232546,1.2037974648486478,100,800
-0.16666666666666666,hard-factorized-constant-6400,0.8333333333333334,0.3606984149867706,1.3399839609362356,100,800
-0.16666666666666666,hard-factorized-constant-6400,1.0,0.4388113089321729,1.4251175386018975,100,800
0.0,hard-factorized-constant-6400,-1.0,0.38279971128719786,1.365811328583391,100,800
0.0,hard-factorized-constant-6400,-0.8333333333333334,0.3210208720293765,1.2893729971678385,100,800
0.0,hard-factorized-constant-6400,-0.6666666666666666,0.25171986368313076,1.1837572149161526,100,800
0.0,hard-factorized-constant-6400,-0.5,0.16824051183098343,1.00877030794531,100,800
0.0,hard-factorized-constant-6400,-0.3333333333333333,0.07845214128245451,0.6774445288013977,100,800
0.0,hard-factorized-constant-6400,-0.16666666666666666,0.020750547029415485,0.0998692771726265,100,800
0.0,hard-factorized-constant-6400,0.0,0.01648770745170259,0.0,100,800
0.0,hard-factorized-constant-6400,0.16666666666666666,0.03932204904337247,0.37747586754862583,100,800
0.0,hard-factorized-constant-6400,0.3333333333333333,0.08970556022457615,0.7356590898060001,100,800
0.0,hard-factorized-constant-6400,0.5,0.1478837818110925,0.9527602752239335,100,800
0.0,hard-factorized-constant-6400,0.6666666666666666,0.24440403871427147,1.1709481052644506,100,800
0.0,hard-factorized-constant-6400,0.8333333333333334,0.3507776728799812,1.3278716696092805,100,800
0.0,hard-factorized-constant-6400,1.0,0.44301622872845126,1.4292593627741121,100,800
0.16666666666666666,hard-factorized-constant-6400,-1.0,0.3428348421635187,1.3179246796924204,100,800
0.16666666666666666,hard-factorized-constant-6400,-0.8333333333333334,0.2804293576296195,1.2306632041882237,100,800
0.16666666666666666,hard-factorized-constant-6400,-0.6666666666666666,0.21077262323960597,1.1066539277439702,100,800
0.16666666666666666,hard-factorized-constant-6400,-0.5,0.1370530564837602,0.9197284524154564,100,800
0.16666666666666666,hard-factorized-constant-6400,-0.3333333333333333,0.06316030206621867,0.5832839253981722,100,800
0.16666666666666666,hard-factorized-constant-6400,-0.16666666666666666,0.01968466420519088,0.07696773771887402,100,800
0.16666666666666666,hard-factorized-constant-6400,0.0,0.032270715624830346,0.291648323312344,100,800
0.16666666666666666,hard-factorized-constant-6400,0.16666666666666666,0.05316882103606402,0.5084967574166973,100,800
0.16666666666666666,hard-factorized-constant-6400,0.3333333333333333,0.09869210834808345,0.7771221538843311,100,800
0.16666666666666666,hard-factorized-constant-6400,0.5,0.1614521645100479,0.9908835987948245,100,800
0.16666666666666666,hard-factorized-constant-6400,0.6666666666666666,0.24021342154057912,1.163436996283429,100,800
0.16666666666666666,hard-factorized-constant-6400,0.8333333333333334,0.33824014471541985,1.3120648784687896,100,800
0.16666666666666666,hard-factorized-constant-6400,1.0,0.44328989398987007,1.4295275575065038,100,800
0.3333333333333333,hard-factorized-constant-6400,-1.0,0.30800278508270734,1.271394370609586,100,800
